manifold_2_4_1:  ( + ; 0 ) = S^2
manifold_2_5_1:  ( + ; 0 ) = S^2
manifold_2_6_1:  ( + ; 0 ) = S^2
manifold_2_6_2:  ( - ; 1 ) = RP^2
manifold_2_6_3:  ( + ; 0 ) = S^2
manifold_2_7_1:  ( + ; 0 ) = S^2
manifold_2_7_2:  ( + ; 0 ) = S^2
manifold_2_7_3:  ( - ; 1 ) = RP^2
manifold_2_7_4:  ( + ; 0 ) = S^2
manifold_2_7_5:  ( - ; 1 ) = RP^2
manifold_2_7_6:  ( - ; 1 ) = RP^2
manifold_2_7_7:  ( + ; 1 ) = T^2
manifold_2_7_8:  ( + ; 0 ) = S^2
manifold_2_7_9:  ( + ; 0 ) = S^2
manifold_2_8_1:  ( + ; 0 ) = S^2
manifold_2_8_2:  ( + ; 0 ) = S^2
manifold_2_8_3:  ( + ; 0 ) = S^2
manifold_2_8_4:  ( - ; 1 ) = RP^2
manifold_2_8_5:  ( + ; 0 ) = S^2
manifold_2_8_6:  ( - ; 1 ) = RP^2
manifold_2_8_7:  ( - ; 1 ) = RP^2
manifold_2_8_8:  ( - ; 1 ) = RP^2
manifold_2_8_9:  ( + ; 1 ) = T^2
manifold_2_8_10:  ( - ; 1 ) = RP^2
manifold_2_8_11:  ( - ; 1 ) = RP^2
manifold_2_8_12:  ( - ; 1 ) = RP^2
manifold_2_8_13:  ( - ; 2 ) = Klein bottle
manifold_2_8_14:  ( - ; 2 ) = Klein bottle
manifold_2_8_15:  ( - ; 2 ) = Klein bottle
manifold_2_8_16:  ( - ; 2 ) = Klein bottle
manifold_2_8_17:  ( - ; 2 ) = Klein bottle
manifold_2_8_18:  ( - ; 1 ) = RP^2
manifold_2_8_19:  ( - ; 1 ) = RP^2
manifold_2_8_20:  ( - ; 2 ) = Klein bottle
manifold_2_8_21:  ( + ; 1 ) = T^2
manifold_2_8_22:  ( + ; 1 ) = T^2
manifold_2_8_23:  ( + ; 1 ) = T^2
manifold_2_8_24:  ( + ; 1 ) = T^2
manifold_2_8_25:  ( + ; 1 ) = T^2
manifold_2_8_26:  ( - ; 1 ) = RP^2
manifold_2_8_27:  ( - ; 1 ) = RP^2
manifold_2_8_28:  ( - ; 1 ) = RP^2
manifold_2_8_29:  ( + ; 0 ) = S^2
manifold_2_8_30:  ( + ; 0 ) = S^2
manifold_2_8_31:  ( + ; 0 ) = S^2
manifold_2_8_32:  ( - ; 1 ) = RP^2
manifold_2_8_33:  ( + ; 0 ) = S^2
manifold_2_8_34:  ( + ; 0 ) = S^2
manifold_2_8_35:  ( + ; 0 ) = S^2
manifold_2_8_36:  ( + ; 0 ) = S^2
manifold_2_8_37:  ( - ; 1 ) = RP^2
manifold_2_8_38:  ( - ; 1 ) = RP^2
manifold_2_8_39:  ( + ; 1 ) = T^2
manifold_2_8_40:  ( - ; 1 ) = RP^2
manifold_2_8_41:  ( + ; 0 ) = S^2
manifold_2_8_42:  ( + ; 0 ) = S^2
manifold_2_8_43:  ( + ; 0 ) = S^2
manifold_2_9_1:  ( + ; 0 ) = S^2
manifold_2_9_2:  ( + ; 0 ) = S^2
manifold_2_9_3:  ( + ; 0 ) = S^2
manifold_2_9_4:  ( + ; 0 ) = S^2
manifold_2_9_5:  ( - ; 1 ) = RP^2
manifold_2_9_6:  ( + ; 0 ) = S^2
manifold_2_9_7:  ( + ; 0 ) = S^2
manifold_2_9_8:  ( + ; 0 ) = S^2
manifold_2_9_9:  ( + ; 0 ) = S^2
manifold_2_9_10:  ( - ; 1 ) = RP^2
manifold_2_9_11:  ( - ; 1 ) = RP^2
manifold_2_9_12:  ( - ; 1 ) = RP^2
manifold_2_9_13:  ( - ; 1 ) = RP^2
manifold_2_9_14:  ( + ; 0 ) = S^2
manifold_2_9_15:  ( + ; 0 ) = S^2
manifold_2_9_16:  ( + ; 1 ) = T^2
manifold_2_9_17:  ( - ; 1 ) = RP^2
manifold_2_9_18:  ( - ; 1 ) = RP^2
manifold_2_9_19:  ( - ; 1 ) = RP^2
manifold_2_9_20:  ( - ; 1 ) = RP^2
manifold_2_9_21:  ( - ; 1 ) = RP^2
manifold_2_9_22:  ( - ; 1 ) = RP^2
manifold_2_9_23:  ( - ; 1 ) = RP^2
manifold_2_9_24:  ( + ; 0 ) = S^2
manifold_2_9_25:  ( - ; 1 ) = RP^2
manifold_2_9_26:  ( - ; 1 ) = RP^2
manifold_2_9_27:  ( - ; 2 ) = Klein bottle
manifold_2_9_28:  ( - ; 2 ) = Klein bottle
manifold_2_9_29:  ( - ; 2 ) = Klein bottle
manifold_2_9_30:  ( - ; 2 ) = Klein bottle
manifold_2_9_31:  ( - ; 2 ) = Klein bottle
manifold_2_9_32:  ( - ; 2 ) = Klein bottle
manifold_2_9_33:  ( - ; 1 ) = RP^2
manifold_2_9_34:  ( - ; 2 ) = Klein bottle
manifold_2_9_35:  ( - ; 2 ) = Klein bottle
manifold_2_9_36:  ( - ; 1 ) = RP^2
manifold_2_9_37:  ( - ; 2 ) = Klein bottle
manifold_2_9_38:  ( - ; 2 ) = Klein bottle
manifold_2_9_39:  ( - ; 1 ) = RP^2
manifold_2_9_40:  ( - ; 1 ) = RP^2
manifold_2_9_41:  ( - ; 2 ) = Klein bottle
manifold_2_9_42:  ( + ; 1 ) = T^2
manifold_2_9_43:  ( + ; 1 ) = T^2
manifold_2_9_44:  ( + ; 1 ) = T^2
manifold_2_9_45:  ( - ; 1 ) = RP^2
manifold_2_9_46:  ( - ; 2 ) = Klein bottle
manifold_2_9_47:  ( - ; 2 ) = Klein bottle
manifold_2_9_48:  ( - ; 1 ) = RP^2
manifold_2_9_49:  ( - ; 2 ) = Klein bottle
manifold_2_9_50:  ( - ; 2 ) = Klein bottle
manifold_2_9_51:  ( + ; 0 ) = S^2
manifold_2_9_52:  ( - ; 1 ) = RP^2
manifold_2_9_53:  ( - ; 2 ) = Klein bottle
manifold_2_9_54:  ( + ; 1 ) = T^2
manifold_2_9_55:  ( + ; 1 ) = T^2
manifold_2_9_56:  ( + ; 1 ) = T^2
manifold_2_9_57:  ( - ; 2 ) = Klein bottle
manifold_2_9_58:  ( - ; 2 ) = Klein bottle
manifold_2_9_59:  ( + ; 1 ) = T^2
manifold_2_9_60:  ( - ; 2 ) = Klein bottle
manifold_2_9_61:  ( - ; 2 ) = Klein bottle
manifold_2_9_62:  ( - ; 2 ) = Klein bottle
manifold_2_9_63:  ( - ; 2 ) = Klein bottle
manifold_2_9_64:  ( - ; 2 ) = Klein bottle
manifold_2_9_65:  ( - ; 2 ) = Klein bottle
manifold_2_9_66:  ( - ; 2 ) = Klein bottle
manifold_2_9_67:  ( - ; 1 ) = RP^2
manifold_2_9_68:  ( - ; 2 ) = Klein bottle
manifold_2_9_69:  ( + ; 1 ) = T^2
manifold_2_9_70:  ( + ; 1 ) = T^2
manifold_2_9_71:  ( - ; 1 ) = RP^2
manifold_2_9_72:  ( - ; 2 ) = Klein bottle
manifold_2_9_73:  ( - ; 2 ) = Klein bottle
manifold_2_9_74:  ( + ; 1 ) = T^2
manifold_2_9_75:  ( - ; 1 ) = RP^2
manifold_2_9_76:  ( - ; 2 ) = Klein bottle
manifold_2_9_77:  ( - ; 1 ) = RP^2
manifold_2_9_78:  ( - ; 1 ) = RP^2
manifold_2_9_79:  ( - ; 1 ) = RP^2
manifold_2_9_80:  ( - ; 1 ) = RP^2
manifold_2_9_81:  ( + ; 1 ) = T^2
manifold_2_9_82:  ( - ; 2 ) = Klein bottle
manifold_2_9_83:  ( - ; 2 ) = Klein bottle
manifold_2_9_84:  ( - ; 2 ) = Klein bottle
manifold_2_9_85:  ( - ; 2 ) = Klein bottle
manifold_2_9_86:  ( - ; 2 ) = Klein bottle
manifold_2_9_87:  ( + ; 1 ) = T^2
manifold_2_9_88:  ( + ; 1 ) = T^2
manifold_2_9_89:  ( - ; 2 ) = Klein bottle
manifold_2_9_90:  ( + ; 1 ) = T^2
manifold_2_9_91:  ( + ; 1 ) = T^2
manifold_2_9_92:  ( + ; 1 ) = T^2
manifold_2_9_93:  ( + ; 1 ) = T^2
manifold_2_9_94:  ( - ; 1 ) = RP^2
manifold_2_9_95:  ( - ; 1 ) = RP^2
manifold_2_9_96:  ( - ; 2 ) = Klein bottle
manifold_2_9_97:  ( - ; 1 ) = RP^2
manifold_2_9_98:  ( - ; 1 ) = RP^2
manifold_2_9_99:  ( - ; 1 ) = RP^2
manifold_2_9_100:  ( - ; 1 ) = RP^2
manifold_2_9_101:  ( - ; 2 ) = Klein bottle
manifold_2_9_102:  ( - ; 2 ) = Klein bottle
manifold_2_9_103:  ( - ; 2 ) = Klein bottle
manifold_2_9_104:  ( - ; 2 ) = Klein bottle
manifold_2_9_105:  ( + ; 1 ) = T^2
manifold_2_9_106:  ( + ; 1 ) = T^2
manifold_2_9_107:  ( + ; 1 ) = T^2
manifold_2_9_108:  ( - ; 2 ) = Klein bottle
manifold_2_9_109:  ( - ; 1 ) = RP^2
manifold_2_9_110:  ( - ; 1 ) = RP^2
manifold_2_9_111:  ( - ; 2 ) = Klein bottle
manifold_2_9_112:  ( - ; 1 ) = RP^2
manifold_2_9_113:  ( - ; 1 ) = RP^2
manifold_2_9_114:  ( - ; 2 ) = Klein bottle
manifold_2_9_115:  ( - ; 1 ) = RP^2
manifold_2_9_116:  ( + ; 1 ) = T^2
manifold_2_9_117:  ( + ; 1 ) = T^2
manifold_2_9_118:  ( + ; 1 ) = T^2
manifold_2_9_119:  ( - ; 1 ) = RP^2
manifold_2_9_120:  ( - ; 1 ) = RP^2
manifold_2_9_121:  ( + ; 1 ) = T^2
manifold_2_9_122:  ( + ; 1 ) = T^2
manifold_2_9_123:  ( + ; 1 ) = T^2
manifold_2_9_124:  ( + ; 1 ) = T^2
manifold_2_9_125:  ( + ; 1 ) = T^2
manifold_2_9_126:  ( - ; 2 ) = Klein bottle
manifold_2_9_127:  ( - ; 2 ) = Klein bottle
manifold_2_9_128:  ( + ; 1 ) = T^2
manifold_2_9_129:  ( - ; 1 ) = RP^2
manifold_2_9_130:  ( - ; 1 ) = RP^2
manifold_2_9_131:  ( - ; 1 ) = RP^2
manifold_2_9_132:  ( - ; 1 ) = RP^2
manifold_2_9_133:  ( - ; 1 ) = RP^2
manifold_2_9_134:  ( - ; 1 ) = RP^2
manifold_2_9_135:  ( - ; 2 ) = Klein bottle
manifold_2_9_136:  ( - ; 3 )
manifold_2_9_137:  ( - ; 3 )
manifold_2_9_138:  ( - ; 3 )
manifold_2_9_139:  ( - ; 3 )
manifold_2_9_140:  ( - ; 2 ) = Klein bottle
manifold_2_9_141:  ( - ; 3 )
manifold_2_9_142:  ( - ; 3 )
manifold_2_9_143:  ( - ; 3 )
manifold_2_9_144:  ( - ; 3 )
manifold_2_9_145:  ( - ; 3 )
manifold_2_9_146:  ( - ; 3 )
manifold_2_9_147:  ( - ; 3 )
manifold_2_9_148:  ( - ; 3 )
manifold_2_9_149:  ( - ; 2 ) = Klein bottle
manifold_2_9_150:  ( - ; 3 )
manifold_2_9_151:  ( - ; 2 ) = Klein bottle
manifold_2_9_152:  ( - ; 3 )
manifold_2_9_153:  ( - ; 3 )
manifold_2_9_154:  ( - ; 3 )
manifold_2_9_155:  ( - ; 3 )
manifold_2_9_156:  ( - ; 3 )
manifold_2_9_157:  ( - ; 3 )
manifold_2_9_158:  ( - ; 3 )
manifold_2_9_159:  ( - ; 2 ) = Klein bottle
manifold_2_9_160:  ( - ; 2 ) = Klein bottle
manifold_2_9_161:  ( - ; 3 )
manifold_2_9_162:  ( - ; 3 )
manifold_2_9_163:  ( - ; 4 )
manifold_2_9_164:  ( - ; 3 )
manifold_2_9_165:  ( - ; 3 )
manifold_2_9_166:  ( - ; 3 )
manifold_2_9_167:  ( - ; 4 )
manifold_2_9_168:  ( - ; 3 )
manifold_2_9_169:  ( - ; 2 ) = Klein bottle
manifold_2_9_170:  ( + ; 1 ) = T^2
manifold_2_9_171:  ( + ; 1 ) = T^2
manifold_2_9_172:  ( - ; 2 ) = Klein bottle
manifold_2_9_173:  ( - ; 2 ) = Klein bottle
manifold_2_9_174:  ( - ; 2 ) = Klein bottle
manifold_2_9_175:  ( - ; 3 )
manifold_2_9_176:  ( - ; 3 )
manifold_2_9_177:  ( - ; 3 )
manifold_2_9_178:  ( - ; 2 ) = Klein bottle
manifold_2_9_179:  ( - ; 3 )
manifold_2_9_180:  ( - ; 3 )
manifold_2_9_181:  ( - ; 3 )
manifold_2_9_182:  ( - ; 3 )
manifold_2_9_183:  ( + ; 1 ) = T^2
manifold_2_9_184:  ( - ; 2 ) = Klein bottle
manifold_2_9_185:  ( - ; 2 ) = Klein bottle
manifold_2_9_186:  ( - ; 2 ) = Klein bottle
manifold_2_9_187:  ( - ; 3 )
manifold_2_9_188:  ( - ; 3 )
manifold_2_9_189:  ( - ; 3 )
manifold_2_9_190:  ( - ; 2 ) = Klein bottle
manifold_2_9_191:  ( - ; 2 ) = Klein bottle
manifold_2_9_192:  ( - ; 3 )
manifold_2_9_193:  ( - ; 3 )
manifold_2_9_194:  ( - ; 3 )
manifold_2_9_195:  ( - ; 3 )
manifold_2_9_196:  ( - ; 3 )
manifold_2_9_197:  ( - ; 3 )
manifold_2_9_198:  ( - ; 3 )
manifold_2_9_199:  ( - ; 3 )
manifold_2_9_200:  ( - ; 3 )
manifold_2_9_201:  ( - ; 3 )
manifold_2_9_202:  ( - ; 3 )
manifold_2_9_203:  ( - ; 3 )
manifold_2_9_204:  ( - ; 3 )
manifold_2_9_205:  ( - ; 4 )
manifold_2_9_206:  ( - ; 3 )
manifold_2_9_207:  ( - ; 3 )
manifold_2_9_208:  ( - ; 3 )
manifold_2_9_209:  ( - ; 2 ) = Klein bottle
manifold_2_9_210:  ( - ; 3 )
manifold_2_9_211:  ( - ; 2 ) = Klein bottle
manifold_2_9_212:  ( - ; 2 ) = Klein bottle
manifold_2_9_213:  ( - ; 2 ) = Klein bottle
manifold_2_9_214:  ( - ; 2 ) = Klein bottle
manifold_2_9_215:  ( - ; 2 ) = Klein bottle
manifold_2_9_216:  ( - ; 2 ) = Klein bottle
manifold_2_9_217:  ( - ; 2 ) = Klein bottle
manifold_2_9_218:  ( - ; 3 )
manifold_2_9_219:  ( - ; 3 )
manifold_2_9_220:  ( - ; 4 )
manifold_2_9_221:  ( - ; 3 )
manifold_2_9_222:  ( - ; 3 )
manifold_2_9_223:  ( - ; 2 ) = Klein bottle
manifold_2_9_224:  ( - ; 2 ) = Klein bottle
manifold_2_9_225:  ( - ; 2 ) = Klein bottle
manifold_2_9_226:  ( - ; 3 )
manifold_2_9_227:  ( - ; 3 )
manifold_2_9_228:  ( - ; 3 )
manifold_2_9_229:  ( - ; 3 )
manifold_2_9_230:  ( - ; 3 )
manifold_2_9_231:  ( - ; 3 )
manifold_2_9_232:  ( - ; 3 )
manifold_2_9_233:  ( - ; 3 )
manifold_2_9_234:  ( - ; 3 )
manifold_2_9_235:  ( - ; 4 )
manifold_2_9_236:  ( - ; 4 )
manifold_2_9_237:  ( - ; 4 )
manifold_2_9_238:  ( - ; 4 )
manifold_2_9_239:  ( - ; 3 )
manifold_2_9_240:  ( - ; 3 )
manifold_2_9_241:  ( - ; 3 )
manifold_2_9_242:  ( - ; 3 )
manifold_2_9_243:  ( - ; 1 ) = RP^2
manifold_2_9_244:  ( - ; 1 ) = RP^2
manifold_2_9_245:  ( - ; 2 ) = Klein bottle
